Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETLCases,Chrome 78.0.3904.108,,2019-12-09 22:02:33,2019-12-09 22:07:18,4m - 44.927s,PASSED
,,,,,,
Test Cases/BasicETL,Chrome 78.0.3904.108,,2019-12-09 22:02:34,2019-12-09 22:03:15,41.282s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-09 22:02:35,2019-12-09 22:02:43,8.538s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-09 22:02:43,2019-12-09 22:02:45,1.215s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:02:45,2019-12-09 22:02:45,0.575s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:02:45,2019-12-09 22:02:46,0.458s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:02:46,2019-12-09 22:02:50,4.377s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:02:50,2019-12-09 22:02:53,3.554s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-09 22:02:53,2019-12-09 22:02:54,0.208s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:02:54,2019-12-09 22:02:56,2.219s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:02:56,2019-12-09 22:02:56,0.354s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:02:56,2019-12-09 22:03:01,5.045s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:01,2019-12-09 22:03:04,2.462s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:04,2019-12-09 22:03:05,0.798s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:05,2019-12-09 22:03:07,2.006s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:07,2019-12-09 22:03:07,0.282s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-09 22:03:07,2019-12-09 22:03:07,0.390s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:03:07,2019-12-09 22:03:09,2.004s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:09,2019-12-09 22:03:11,1.568s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:03:11,2019-12-09 22:03:14,3.005s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-09 22:03:14,2019-12-09 22:03:14,0.453s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-09 22:03:14,2019-12-09 22:03:15,1.057s,PASSED
,,,,,,
Test Cases/ETLDefinitionExists,Chrome 78.0.3904.108,,2019-12-09 22:03:15,2019-12-09 22:04:23,1m - 7.852s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-09 22:03:16,2019-12-09 22:03:25,8.754s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-09 22:03:25,2019-12-09 22:03:35,10.247s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:35,2019-12-09 22:03:36,0.574s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:36,2019-12-09 22:03:36,0.457s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:36,2019-12-09 22:03:39,3.288s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:39,2019-12-09 22:03:44,4.787s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-09 22:03:44,2019-12-09 22:03:44,0.101s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:44,2019-12-09 22:03:46,1.688s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:03:46,2019-12-09 22:03:47,0.464s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:03:47,2019-12-09 22:03:57,10.004s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:57,2019-12-09 22:03:58,1.129s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:58,2019-12-09 22:03:58,0.739s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:03:58,2019-12-09 22:04:00,2.098s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:00,2019-12-09 22:04:01,0.377s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-09 22:04:01,2019-12-09 22:04:01,0.368s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:01,2019-12-09 22:04:03,1.569s,PASSED
waitForPageLoad,Chrome 78.0.3904.108,,2019-12-09 22:04:03,2019-12-09 22:04:03,0.138s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-09 22:04:03,2019-12-09 22:04:03,0.397s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:03,2019-12-09 22:04:08,5.004s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-09 22:04:08,2019-12-09 22:04:08,0.102s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:08,2019-12-09 22:04:10,1.702s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:10,2019-12-09 22:04:12,2.005s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:12,2019-12-09 22:04:12,0.258s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:12,2019-12-09 22:04:17,5.003s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:17,2019-12-09 22:04:19,1.106s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:19,2019-12-09 22:04:21,2.040s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:21,2019-12-09 22:04:21,0.251s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-09 22:04:21,2019-12-09 22:04:21,0.297s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:21,2019-12-09 22:04:22,0.780s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:22,2019-12-09 22:04:22,0.005s,NOT_RUN
acceptAlert,Chrome 78.0.3904.108,,2019-12-09 22:04:22,2019-12-09 22:04:22,0.041s,PASSED
switchToDefaultContent,Chrome 78.0.3904.108,,2019-12-09 22:04:22,2019-12-09 22:04:22,0.051s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:22,2019-12-09 22:04:22,0.333s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-09 22:04:22,2019-12-09 22:04:23,0.887s,PASSED
,,,,,,
Test Cases/ETLFlushLoad,Chrome 78.0.3904.108,,2019-12-09 22:04:23,2019-12-09 22:05:02,38.650s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-09 22:04:24,2019-12-09 22:04:29,5.329s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-09 22:04:29,2019-12-09 22:04:30,1.148s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:30,2019-12-09 22:04:31,0.428s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:31,2019-12-09 22:04:31,0.550s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:31,2019-12-09 22:04:34,3.043s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:34,2019-12-09 22:04:37,3.015s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-09 22:04:37,2019-12-09 22:04:37,0.138s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:37,2019-12-09 22:04:39,1.628s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:39,2019-12-09 22:04:39,0.308s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:39,2019-12-09 22:04:44,5.005s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:44,2019-12-09 22:04:45,1.055s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:45,2019-12-09 22:04:46,0.727s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 22:04:46,2019-12-09 22:04:48,2.200s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:48,2019-12-09 22:04:48,0.259s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-09 22:04:48,2019-12-09 22:04:49,0.378s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:49,2019-12-09 22:04:54,5.002s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:54,2019-12-09 22:04:54,0.283s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-12-09 22:04:54,2019-12-09 22:04:54,0.269s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:54,2019-12-09 22:04:55,0.323s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 22:04:55,2019-12-09 22:04:56,0.843s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 22:04:56,2019-12-09 22:05:01,5.003s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-09 22:05:01,2019-12-09 22:05:01,0.414s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-09 22:05:01,2019-12-09 22:05:02,0.926s,PASSED
